id,Respondent.Race,White,Black,Jewish,Hispanic,Asian
1986,Black,NA,NA,NA,NA,NA
1136,Black,NA,NA,NA,NA,NA
308,White,75,12,2,8,3
1416,White,80,10,20,15,15
1577,Other,45,20,15,40,20
1204,Black,NA,NA,NA,NA,NA
1409,White,60,40,20,20,10
1923,White,70,20,2,8,10
22,White,60,30,20,40,10
1793,White,NA,NA,NA,NA,NA
1345,Black,NA,NA,NA,NA,NA
1309,White,NA,NA,NA,NA,NA
1261,Black,30,20,20,10,10
2201,White,NA,NA,NA,NA,NA
603,White,NA,NA,NA,NA,NA
2555,White,NA,NA,NA,NA,NA
101,White,NA,NA,NA,NA,NA
2717,White,NA,NA,NA,NA,NA
1787,Other,60,10,NA,20,5
1676,White,65,25,2,13,8
514,Black,50,30,10,25,25
2677,Black,NA,NA,NA,NA,NA
807,White,NA,NA,NA,NA,NA
1458,White,70,20,2,20,5
944,White,70,20,2,3,2
1129,White,NA,NA,NA,NA,NA
2455,White,NA,NA,NA,NA,NA
869,White,NA,NA,NA,NA,NA
2319,White,NA,NA,NA,NA,NA
157,White,NA,NA,NA,NA,NA
1185,White,NA,NA,NA,NA,NA
423,White,NA,NA,NA,NA,NA
2325,White,40,35,5,10,5
2347,White,35,40,10,20,30
367,White,NA,NA,NA,NA,NA
963,White,NA,NA,NA,NA,NA
1347,White,NA,NA,NA,NA,NA
1721,Black,75,50,50,75,20
1073,White,NA,NA,NA,NA,NA
343,White,NA,NA,NA,NA,NA
922,White,30,35,NA,20,NA
1273,White,NA,NA,NA,NA,NA
981,White,NA,NA,NA,NA,NA
646,White,60,12,10,15,8
1979,White,NA,NA,NA,NA,NA
1596,Black,85,40,25,20,30
1589,White,NA,NA,NA,NA,NA
1079,White,38,28,5,38,22
2803,White,NA,NA,NA,NA,NA
125,White,NA,NA,NA,NA,NA
2737,White,70,30,10,15,6
2227,White,NA,NA,NA,NA,NA
1266,White,50,45,NA,NA,NA
1259,White,NA,NA,NA,NA,NA
2809,White,NA,NA,NA,NA,NA
2761,White,50,25,NA,20,NA
491,White,60,12,2,40,5
193,White,NA,NA,NA,NA,NA
1161,White,NA,NA,NA,NA,NA
2230,White,65,15,10,20,15
2159,White,NA,NA,NA,NA,NA
1861,White,NA,NA,NA,NA,NA
1061,White,60,14,10,8,3
2655,White,NA,NA,NA,NA,NA
703,White,NA,NA,NA,NA,NA
2165,White,NA,NA,NA,NA,NA
2139,White,NA,NA,NA,NA,NA
320,White,52,20,20,18,15
1799,White,NA,NA,NA,NA,NA
2736,White,40,30,5,15,3
757,White,NA,NA,NA,NA,NA
2309,White,75,25,15,40,20
1081,White,NA,NA,NA,NA,NA
328,Other,NA,NA,NA,NA,NA
2431,White,NA,NA,NA,NA,NA
2499,White,NA,NA,NA,NA,NA
110,Other,NA,NA,NA,NA,NA
2269,White,NA,NA,NA,NA,NA
225,White,NA,NA,NA,NA,NA
2679,White,NA,NA,NA,NA,NA
2057,Black,40,60,30,40,40
2195,White,NA,NA,NA,NA,NA
2419,White,NA,NA,NA,NA,NA
2313,White,NA,NA,NA,NA,NA
1767,White,NA,NA,NA,NA,NA
2461,White,NA,NA,NA,NA,NA
576,Other,NA,NA,NA,NA,NA
1800,White,60,25,10,30,20
2649,White,60,12,5,9,9
1713,White,NA,NA,NA,NA,NA
5,White,60,20,5,40,30
1211,White,NA,NA,NA,NA,NA
169,White,NA,NA,NA,NA,NA
931,White,NA,NA,NA,NA,NA
1495,White,NA,NA,NA,NA,NA
